date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:35:38	304908/304908	---M--	200	added ('OK')	image/png	date:Wed,%2028%20May%202025%2023:26:57%20GMT	https://spline.design/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fpricing-footer.6caee45d.png&w=3840&q=100	/Users/banyar-ego/websites/test/spline.design/_next/pricing-footer33da.png	(from https://spline.design/pricing)
12:35:39	18243/18243	---MCZ	200	added ('OK')	text/css	etag:W/%22db81b0752e648d46bc222ca5fa63f325%22	https://spline.design/_next/static/css/160e5c52878325a5.css	/Users/banyar-ego/websites/test/spline.design/_next/static/css/160e5c52878325a5.css	(from https://spline.design/hana)
12:35:40	22800039/22800039	---M--	200	added ('OK')	video/mp4	etag:%22970e8f7c1cacef7529ac812d1b481ccf%22	https://spline.design/_assets/_videos/hackathon.mp4	/Users/banyar-ego/websites/test/spline.design/_assets/_videos/hackathon.mp4	(from https://spline.design/hackathon)
12:35:40	163637/163637	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d737c57e345adad9b41a735bb8e30543%22	https://spline.design/_next/static/chunks/pages/hana-2df83f8b81eaf707.js	/Users/banyar-ego/websites/test/spline.design/_next/static/chunks/pages/hana-2df83f8b81eaf707.js	(from https://spline.design/hana)
12:35:41	20230/20230	---MCZ	200	added ('OK')	text/css	etag:W/%22fffc5bf05f8f8edb3389fdcf82b25cea%22	https://spline.design/_next/static/css/c3b90919515a4318.css	/Users/banyar-ego/websites/test/spline.design/_next/static/css/c3b90919515a4318.css	(from https://spline.design/ios)
12:35:42	163512/163512	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a6a300e727f5853e808f87064a854bd6%22	https://spline.design/_next/static/chunks/7411-6586b4d9d70460f9.js	/Users/banyar-ego/websites/test/spline.design/_next/static/chunks/7411-6586b4d9d70460f9.js	(from https://spline.design/ios)
12:35:43	18988/18988	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fabbe919f4d349decb50fa72ff8165bd%22	https://spline.design/_next/static/chunks/7789-57619d854900dd73.js	/Users/banyar-ego/websites/test/spline.design/_next/static/chunks/7789-57619d854900dd73.js	(from https://spline.design/ios)
12:35:44	29202/29202	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b83e9b178723a48c36d47fdf1fcbb28f%22	https://spline.design/_next/static/chunks/pages/ios-37e74a6525025e1b.js	/Users/banyar-ego/websites/test/spline.design/_next/static/chunks/pages/ios-37e74a6525025e1b.js	(from https://spline.design/ios)
12:35:45	37051/37051	---M--	200	added ('OK')	image/png	date:Wed,%2028%20May%202025%2020:21:33%20GMT	https://spline.design/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fappgen-header.67049af2.png&w=3840&q=100	/Users/banyar-ego/websites/test/spline.design/_next/appgen-header2bb2.png	(from https://spline.design/ios)
12:35:46	21230/21230	---MCZ	200	added ('OK')	text/css	etag:W/%22d193ee7a366459d68992cd73bee3a4f3%22	https://spline.design/_next/static/css/980a60ccd187db08.css	/Users/banyar-ego/websites/test/spline.design/_next/static/css/980a60ccd187db08.css	(from https://spline.design/android)
12:35:47	32824/32824	---MCZ	200	added ('OK')	application/javascript	etag:W/%2296cc0572043cfe370d65d4a3dff78e63%22	https://spline.design/_next/static/chunks/pages/android-ebb75bb72606cbff.js	/Users/banyar-ego/websites/test/spline.design/_next/static/chunks/pages/android-ebb75bb72606cbff.js	(from https://spline.design/android)
12:35:48	43424/43424	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jun%202025%2009:17:56%20GMT	https://spline.design/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fappgen-header.3a5635de.png&w=3840&q=100	/Users/banyar-ego/websites/test/spline.design/_next/appgen-header4ae4.png	(from https://spline.design/android)
12:35:49	417574/417574	---M--	200	added ('OK')	image/png	etag:%223aa64a4035ba32766eb396ee26578ff6%22	https://spline.design/_next/static/media/og-spline-mirror.35683ae7.png	/Users/banyar-ego/websites/test/spline.design/_next/static/media/og-spline-mirror.35683ae7.png	(from https://spline.design/spline-mirror)
12:35:50	13330/13330	---MCZ	200	added ('OK')	text/css	etag:W/%2267645ced3c5b37f74df53c21745c0e2a%22	https://spline.design/_next/static/css/626a660ebfec0102.css	/Users/banyar-ego/websites/test/spline.design/_next/static/css/626a660ebfec0102.css	(from https://spline.design/spline-mirror)
12:35:51	24267/24267	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e2d1f31932c1d02eaac64d9278756140%22	https://spline.design/_next/static/chunks/pages/spline-mirror-56ee324a54150983.js	/Users/banyar-ego/websites/test/spline.design/_next/static/chunks/pages/spline-mirror-56ee324a54150983.js	(from https://spline.design/spline-mirror)
12:35:51	16815/16815	---M--	200	added ('OK')	image/png	date:Fri,%2030%20May%202025%2015:37:43%20GMT	https://spline.design/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FSection_1_Image_3-2.059333e7.png&w=1920&q=100	/Users/banyar-ego/websites/test/spline.design/_next/Section_1_Image_3-22efb.png	(from https://spline.design/spline-mirror)
12:35:53	10737/10737	---MCZ	200	added ('OK')	text/css	etag:W/%220c51656cc3758298659cb1cfc6a29fd4%22	https://spline.design/_next/static/css/b6d7a109855357c1.css	/Users/banyar-ego/websites/test/spline.design/_next/static/css/b6d7a109855357c1.css	(from https://spline.design/download)
12:35:54	30125/30125	---MCZ	200	added ('OK')	application/javascript	etag:W/%224c2d350465c357e472991995e6f072bf%22	https://spline.design/_next/static/chunks/pages/download-2192f1b2aeb9c57c.js	/Users/banyar-ego/websites/test/spline.design/_next/static/chunks/pages/download-2192f1b2aeb9c57c.js	(from https://spline.design/download)
12:35:55	7246/7246	---MCZ	200	added ('OK')	text/css	etag:W/%22c0f3640aa5dc89888a71637b5439ced5%22	https://spline.design/_next/static/css/7434d1318c5eab4c.css	/Users/banyar-ego/websites/test/spline.design/_next/static/css/7434d1318c5eab4c.css	(from https://spline.design/download-mirror)
12:35:56	8055/8055	---MCZ	200	added ('OK')	application/javascript	etag:W/%2299f4d3230c439c2b7c1ec70d1c0d8d26%22	https://spline.design/_next/static/chunks/pages/download-mirror-01c980af8094f691.js	/Users/banyar-ego/websites/test/spline.design/_next/static/chunks/pages/download-mirror-01c980af8094f691.js	(from https://spline.design/download-mirror)
